time,date,hour,precip [mm/day],Irondequoit [m3/s],Irondequoit (observed) [m3/s]
0,2000-01-01,00:00.0,---,0,
1,2000-01-02,00:00.0,0.056154,0.0120349,1.8689
2,2000-01-03,00:00.0,3.80124,0.0930514,1.9255
3,2000-01-04,00:00.0,12.9496,0.394727,3.1432
4,2000-01-05,00:00.0,0.608368,1.05276,8.5517
5,2000-01-06,00:00.0,0,1.86501,6.881
6,2000-01-07,00:00.0,0.234571,2.18695,4.2475
7,2000-01-08,00:00.0,0,1.71816,3.5679
8,2000-01-09,00:00.0,1.89163,1.05952,3.0865
9,2000-01-10,00:00.0,4.48134,0.772944,2.7184
10,2000-01-11,00:00.0,2.09898,0.855347,3.5679
11,2000-01-12,00:00.0,0,1.10502,4.0776
12,2000-01-13,00:00.0,8.00024,1.25319,3.3697
13,2000-01-14,00:00.0,3.41527,1.14197,3.0016
14,2000-01-15,00:00.0,0,0.89601,2.4919
15,2000-01-16,00:00.0,0.17071,0.722163,2.4352
16,2000-01-17,00:00.0,0.989827,0.661968,2.4352
17,2000-01-18,00:00.0,0.388864,0.655252,2.1238
18,2000-01-19,00:00.0,0.607175,0.659432,1.9822
19,2000-01-20,00:00.0,5.47332,0.665045,1.9255
20,2000-01-21,00:00.0,4.62339,0.672017,1.9255
21,2000-01-22,00:00.0,0.057493,0.680245,1.8123
22,2000-01-23,00:00.0,0,0.689631,1.8689
23,2000-01-24,00:00.0,0.32191,0.700097,1.8689
24,2000-01-25,00:00.0,0.39982,0.711574,1.8123
25,2000-01-26,00:00.0,5.55843,0.723996,1.7556
26,2000-01-27,00:00.0,3.68739,0.737299,1.8123
27,2000-01-28,00:00.0,0.815723,0.751423,1.7556
28,2000-01-29,00:00.0,0,0.76631,1.7556
29,2000-01-30,00:00.0,2.16756,0.781905,1.699
30,2000-01-31,00:00.0,9.21333,0.800392,1.8123
31,2000-02-01,00:00.0,1.99685,0.828074,1.9822
32,2000-02-02,00:00.0,1.33349,0.867792,2.0105
33,2000-02-03,00:00.0,0.114555,0.900368,1.9255
34,2000-02-04,00:00.0,0.17071,0.909766,1.8689
35,2000-02-05,00:00.0,0.970349,0.911684,1.9255
36,2000-02-06,00:00.0,0.497207,0.921934,1.8123
37,2000-02-07,00:00.0,0.22911,0.939642,1.784
38,2000-02-08,00:00.0,0,0.959772,1.8123
39,2000-02-09,00:00.0,0,0.980104,1.699
40,2000-02-10,00:00.0,0.285265,1.00042,1.9255
41,2000-02-11,00:00.0,2.44265,1.02035,2.1521
42,2000-02-12,00:00.0,0,1.03987,2.3786
43,2000-02-13,00:00.0,0.22911,1.05948,2.1238
44,2000-02-14,00:00.0,5.77659,1.07957,2.0388
45,2000-02-15,00:00.0,4.85096,1.09993,2.1521
46,2000-02-16,00:00.0,0.22911,1.12004,2.1238
47,2000-02-17,00:00.0,1.18708,1.13969,2.2653
48,2000-02-18,00:00.0,1.82536,1.15903,2.3503
49,2000-02-19,00:00.0,7.6669,1.17835,2.2653
50,2000-02-20,00:00.0,0.22911,1.19781,2.322
51,2000-02-21,00:00.0,0,1.21712,2.2653
52,2000-02-22,00:00.0,0,1.23573,2.3503
53,2000-02-23,00:00.0,0,1.4882,3.2564
54,2000-02-24,00:00.0,0.114555,2.772,7.7022
55,2000-02-25,00:00.0,2.6651,6.30764,14.2717
56,2000-02-26,00:00.0,0.64382,9.56401,20.1899
57,2000-02-27,00:00.0,0.514375,9.89025,18.6891
